,title,links,artist,song_lyric
0,Alfred (Interlude),https://lyrics.az/eminem/music-to-be-murdered/alfred-interlude.html,eminem,"How do you do? Ladies and gentlemen
My name is Alfred Hitchco*k and this is Music To Be Murdered By
It is mood music in a jugular vein



So why don't you relax? Lean back and enjoy yourself
Until the coroner comes"
1,Em Calls Paul (Skit) (2018),https://lyrics.az/eminem/kamikaze/em-calls-paul-skit-2018.html,eminem,"[Skit: Eminem & GPS]
Paul, yo, um
So I got your message, I wish you would answer the f**in' phone
Um...
(Turn right)
No, I don't plan to reply to everybody who f**in' says something f**ed up about me
But I will say this, I was reading some comments last night about, like, what people are f**in' saying about Revival
And uhh
Yo, this Yahoo motherf**er, whatever the f** his name is, said I, literally said I rhymed ""rhymes"" with ""chimes""



""s**er free, confidence high
Such a breeze when I pen rhymes""
(Turn right)
Like, you don't understand I'm rhyming the entire f**in' sentence you f**in' moron
(In 100 feet, turn left)
It's my fault 'cause you're f**in' stupid
But I swear to God this motherf**er lives in Michigan and I think I figured out his address
And I'm on my way to his f**in' house right now
(Turn left)
I'll hit you back later"
2,Revival,https://lyrics.az/eminem/campaign-speech/revival.html,eminem,"[Verse]
I’ve drowned in high from the ashes, now
I can’t recall your laughter
The smoke of every single grasp
But ends of what’s left over



And the lights in every broken
Blown our window screaming, laughing
I love to feel the course hang out
This is our revival"
3,1-833-2GET-REV,https://lyrics.az/eminem/revival/1-833-2get-rev.html,eminem,"Thank you for your interest in Revival, the number one slightly invasive treatment for Atrox Rithimis. You only get one shot to beat AR. Don't miss your chance with Revival. Please hold to speak with a patient care representative.
While you wait, here's some additional information:
You should discuss the potential benefits and risks of Revival with your doctor or clergyman. Revival is a non-injectable medication given through the ear can*l and is not intended for an*l use. Revival is a non-narcotic medication intended for daily use that can be taken with or without food.
Tell your doctor about all health conditions, including if you:
Have a history of confusion or poor judgment
Are allergic to tympanic stimulators
Are pregnant or nursing
Revival does not cause serious side effects including:
Fleem's syndrome
Mild to disfiguring acne
Brain problems
Male pattern baldness, most commonly in women



Rage
Decreased appetite
Increased appetite
Seasonal affective disorder
Loose gums
Gluten sensitivity
Toothpain
Tight glutes
General feeling of head trauma
Softening of fingernails
Dramatically increased hair growth
Sudden nut allergies
Ringing in your mouth
and Light-leggedness
Thank you for continuing to hold. We give you some serious f**ing credit for sticking with us. Tell your doctor right away if you have any of the following symptoms:
Fever, sweats or chills
Muscle ache
Cough
Shortness of breath
Blood and phlegm
Weight loss
Warm, red, or painful skin or sores on your body
Diarrhea or stomach pain
Burning when you urinate
Chills when you urinate
Urinating more often than normal
Feeling very tired or night sleeping
Revival does not cause you side effects but if you have them you should definitely seek medical attention."
4,8 Mile: Final Battle,https://lyrics.az/eminem/8-mile-motion-picture/8-mile-final-battle.html,eminem,"[Rabbit]
Now, everybody from the 313
Put your motherf**ing hands up and follow me!
Everybody from the 313
Put your motherf**ing hands up! Look, look...
Now, while he stands tough
Notice that this man did not have his hands up
This Free World's got you ga**ed up
Now, who's afraid of the Big Bad Wolf?
1, 2, 3, and to the 4; 1 Pac, 2 Pac, 3 Pac, 4
4 Pac, 3 Pac, 2 Pac, 1
You're Pac, he's Pac, no Pac, none
This guy ain't no motherf**ing MC
I know everything he's 'bout to say against me
I am white, I am a f**ing bum
I do live in a trailer with my mom
My boy Future is an Uncle Tom
I do got a dumb friend named Cheddar Bob
Who shoots himself in his leg with his own gun
I did get jumped by all six of you chumps
And Wink did f** my girl
I'm still standing here screaming, ""f** the Free World!""



Don't ever try to judge me, dude
You don't know what the f** I've been through
But I know something about you
You went to Cranbrook, that's a private school
What's the matter, dog, you embarra**ed?
This guy's a gangster? His real name's Clarence
And Clarence lives at home with both parents
And Clarence parents have a real good marriage
This guy don't wanna battle, he shook
‘Cause ain't no such things as halfway crooks
He's scared to d**h, he's scared to look in his f**ing yearbook; f** Cranbrook!
f** the beat, I'll go a cappella
f** a Papa Doc, f** a clock, f** a trailer; f** everybody!
f** y'all if you doubt me!
I'm a piece of f**ing white trash, I say it proudly
And f** this battle, I don't wanna win, I'm outtie
Here, tell these people something they don't know about me"
5,Hail Mary,https://lyrics.az/eminem/dj-green-lantern-mixtape-2003/hail-mary.html,eminem,"[Intro: Eminem]
Makaveli rest in peace
Irv Gotti, too much Bacardi in his body
Mouth like a 12 gauge shotty
And Ja said he should be
The lost forgotten seed of 2Pac
To lead this industry into the ways of the man
Follow me!
[Hook: Eminem]
Come get me
If you motherf**ers want Shady
If Pac was still here now
He would never ride with Ja
Na-na-na-na-na-na-na-na
[Verse 1: Eminem]
You ain't no k**er, you a p**y
That Ecstasy done got you all emotional and mushy
b**hes wearing rags in photos, Ja's words being quoted
In The Source, stealing Pac's sh** like he just wrote it
You loud mouths pray to god hoping no one's listening
See 50 coming for me, Oh my god ma, my position
No one will pay attention to me
Please Gotti, here I go, give me this pill
Ecstasy done got me feeling so invincible
Now all of a sudden I'm a f**ing madman who screams
Like I'm Pac but I'm not, enemies, Hennessey
Acting like I'm great, but I'm fake, I'm crazy
Sweat drip, get me off this trip, someone stop this train
Some say my brain is all corrupted, f**ed from this sh**
I'm stuck, I'm addicted to these d**, I'mma quit
Saying motherf**ers names before somebody f**s me up
Ain't no pussies over here, partner, see you in hell, f**er
[Hook]
Get off that E
Before you try to come and f** with me
It's Aftermath here now
Shady Records got it locked
La-la-la-la-la-la-la-la-locked
[Verse 2: 50 Cent]
Penitentiaries is packed with promise makers
Never realized the precious time that b**h n***as is wasting
Institutionalized, my b**hes bring me product by the bundles
Hustle hard from a cell, G-Unit motherf**er, we balling
Catch me counting trees and when I'm calling, can you set my call
CEO let me sip on Hennessey, can I sip some more
Hell, I done been to jail, I ain't scared
Mama checking in my bedroom, I ain't there
I got a head with no screws in it
Motherf**ers thinking they can stop 50, they losing it
Lil' n***a named Ja think he live like me
Talking 'bout he left the hospital, took 9 like me
You live in fantasies n***a, I reject your deposit
When your lil' sweet a** gon' come out of the closet?
Now he wondering why DMX blowed him out
Next time grown folks talking b**h, close your mouth
Peep me, I take this war sh** deeply
Done seen too many real n***as ball to let these b**h n***as beat me
Black, you's a motherf**ing punk and you can see me with gloves
Quit scaring them f**ing kids with your ugly a** mug



And you can tell them n***as you roll with whatever you want
But you and I know what's going on
n***a payback, Tah, I know your b**h a** from way back
Witnessed me strapped with Macs, you know I don't play that
All these old rappers trying to advance
It's all over now, take it like a man
Irv looking like Larry Holmes, flabby and sick
Trying to playa hate on my sh**, man eat a fat dick
Loving this sh** that's how you made me
Feeling like I got you n***as crazy
Against all odds, hoping my thug motherf**ers know
This be the realest sh** I ever wrote
Against all odds, up in the studio getting blow
To the truest sh** I ever spoke
21 gun salute
[Verse 3: Busta Rhymes]
I've been one of the most humble, rep the streets to the core
Hey Jeffrey, what the f** you come involving me for
It's been a long time coming, like a bless and a check
You see 106 and Park fans don't even f**ing respect you
It's kinda funny, wannabe Pac, wanna fake like you thug
Running around talking sh** that he ain't capable of
Now let me off this co*ks**er whilst we handle you, n***a
If I recall, Violator use to manage you, n***a
Then took a closer look and realized you was an impostor
There's never been a Violator on a Murda Inc roster
Dumb a**, now who's shooting?
Ah made you look
You said Bus singing the same old hook, you stupid
If y'all shooting
I take a look at your man, the b**h shot himself in front of Def Jam
Cheddar Bob a** n***a start adjusting your plan
You let the streets down n***a, 'pologize to your fans
Watch you pull a little stunt like we ain't know what it was
Little f*ggot desperate trying to re-establish a buzz
I know the sh** is driving you crazy, you wondering how
The streets ain't never want you Beatrice, what you gonna do now
Now if you wanna beef with me, then I'm beefing with you
I think about the game and what it's like and what would it be without you
I'm finished, I ain't trying to repeat this
JJust cause I'm cool, you shouldn't take my kindness for weakness
[Outro: Busta Rhymes]
It was fun
Next time you got a problem with me
Address me before you try to make sh** a public issue homie
And I'mma return back to my regular self
And have fun again
One
[50 Cent]
Hahaha, b*tch! Haha
OUTLAWZ, haha
Makaveli the don, haha
Since you want to be 2Pac, motherf**er, hahaha
2Pac shoes too big for you to walk in you lil' f*ggot, hahaha
(What do we have here now?)"
6,Brain Damage,https://lyrics.az/eminem/eminem-unmastered-sequence/brain-damage.html,eminem,"""Scalpel""
""Here""
""Sponge""
""Here""
""Wait he's convulsing!"" ""Ah""
""He's convulsing!""
""Oh my"" ""We're gonna have to shock him!""
""Oh my God!"" ""We're gonna have to shock him!""
""Oh my God!""
These are the results of a thousand electric volts,
A neck with bolts ""Nurse we're losing him, check the pulse!""
A kid who refused to respect adults,
Wore spectacles with taped frames and a freckled nose.
A corny lookin' white boy, scrawny and always ornery,
'Cause I was always sick of brawny bullies pickin' on me.
And I might snap, one day just like that
I decided to strike back and flatten every tire on the bike rack.
My first day in junior high, this kid said,
""Just you and I, three o'clock sharp this afternoon you die""
I looked at my watch it was one twenty,
""I already gave you my lunch money what more do you want from me?""
He said, ""Don't try to run from me, you'll just make it worse""
My palms were sweaty, and I started to shake at first.
Something told me, ""Try to fake a stomach ache, it works""
I screamed, ""Ow! My appendix feel like they could burst!
Teacher, teacher, quick I need a naked nurse!""
""What's the matter?"" ""I don't know, my leg, it hurts!""
""Leg?! I thought you said it was your tummy?""
""Oh, I mean it is, but I also got a bum knee!""
""Mr. Mathers, the fun and games are over.
And just for that stunt, you're gonna get some extra homework.""
""But don't you want to give me after school detention?""
""Nah, that bully wants to beat your a** and I'm a let him""
Brain damage, ever since the day I was born
Drugs, what they used to say I was on
They say I never knew which way I was goin'
But everywhere I go they keep playin' my song
Brain damage, ever since the day I was born
Drugs, what they used to say I was on
They say I never knew which way I was goin'
But everywhere I go they keep playin' my song
Brain damage
Way before my baby daughter Hailey,
I was hara**ed daily by this fat kid named D'Angelo Bailey.
An eighth grader who acted obnoxious, 'cause his father boxes,
So everyday he'd shove me in the lockers.
One day he came in the bathroom while I was pissin',
And had me in the position to beat me into submission.



He banged my head against the urinal 'til he broke my nose,
Soaked my clothes in blood, grabbed me and choked my throat.
I tried to plead and tell him, ""We shouldn't beef""
But he just wouldn't leave, he kept chokin' me and I couldn't breathe.
He looked at me and said, ""You gonna die honky!""
The principal walked in and started helping him stomp me.
I made them think they beat me to d**h,
Holdin' my breath for like five minutes before they finally left.
Then I got up and ran to the janitor's storage booth.
Kicked the door hinge loose and ripped out the four inch screws.
Grabbed some sharp objects, brooms, and foreign tools.
""This is for every time you took my orange juice,
Or stole my seat in the lunchroom and drank my chocolate milk.
Every time you tipped my tray and it dropped and spilt.
I'm gettin' you back bully! Now once and for good.
I co*ked the broomstick back and swung hard as I could,
And beat him over the head with it 'til I broke the wood.
Knocked him down, stood on his chest with one foot.
Made it home later that same day.
Started reading the comics, and suddenly everything became gray.
I couldn't even see what I was trying to read.
I went deaf, and my left ear started to bleed.
My mother started screamin', ""What are you on, d**??
Look at you, you're gettin' blood all over my rug!"" (Stop!)
She beat me over the head with the remote control,
Opened a hole and my whole brain fell out of my skull.
I picked it up and screamed, ""Look b**h, what have you done?""
""Oh my God, I'm sorry son"" ""Shut up you c*nt!""
I said, ""f** it!"" took it and stuck it back up in my head,
Then I sewed it shut and put a couple of screws in my neck.
Brain damage, ever since the day I was born
Drugs, what they used to say I was on
They say I never knew which way I was goin'
But everywhere I go they keep playin' my song
Brain damage, ever since the day I was born
Drugs, what they used to say I was on
They say I never knew which way I was goin'
But everywhere I go they keep playin' my song
Brain damage
It' brain damage, I got brain damage
It's brain damage,
It's probably brain damage."
7,American Psycho,https://lyrics.az/eminem/eminem-vs-dj-whoo-kid-shady-cla**ics-mixtape/american-psycho.html,eminem,"[Verse 1: Slim Shady]
I'm the devil, if ever there was such a thing
The results of much too many d** what you're seeing
I'm a mindf**, completely dis-(gu-uh-uh)-sting
I'm (what), a human mutt f** a being I'm a dog
f** lambs, I'm silencing 'em all
I'm involved in murders forensic science couldn't solve
Giant set of balls too big to buy a set of drawers
Might as well unzip my fly and let 'em fall to the floor
Each thought's completely warped
I'm like a walking, talking, Ouija board
Speaking in tongues, I've never spoke this speech before
Hhem-delle-la, ennich-me-noughh-mi-niche-mick-norrf
Have you ever experienced spirits in lyrics when you hear 'em
'til you scared to stare in into any mirrors when you near 'em?
Well if so, get ready for some sh** yo,
""Is this some kind of sick joke?"" sh** no, motherf**ing schizo
So disturbed, he just goes so berserk, he tiptoes
Fist first with scissors to slit throats of just hoes
Just goes to shizzow you dizzon't, fizzuck with
So-someone this disturbed, sa-sippin on si-zzurp
So lock your doors, drop to the floors
Get your shotguns drawn here comes another ""Clockwork Orange""
Look at Bizarre; you really think he's right in his mind
What the f** you think's goin' through it when he's writin' his rhyme
[Hook: Slim Shady]
You bout to - journey into the mind of a psychopath k**er
Blood spiller, mentality much iller
Than you could ever imagine in your wildest dreams
You'll feel his pain in his silent screams
You bout to - journey into the mind of a psychopath k**er
Blood spiller, mentality much iller
Than you could ever imagine in your wildest dreams
You'll feel his pain in his violent screams
[Verse 2: Peter S. Bizarre]
It's Friday night, I'm at a rave again
Picking up transvestites on my Harley-Davidson (hey hop on)
My girlfriend's a crackhead who*e
She'll come to your door, s** your dick on the floor
And take your bottles to the store (n***a, I'm takin these)
Have you ever seen a b**h get beat because she won't cheat
Run the street and s** another n***a's meat?
My son's sixteen years old with nowhere to stay (dad it's me)



I told him he wasn't mine, slammed the door in his face
And I ain't got no food, my job I've been cheated
My girlfriend had a miscarriage (I'm sorry) I had to eat it (ohh)
My dick is burning, it ain't cause of disease
Because I'm jacking off with gasoline mixed with antifreeze (AHH!)
I'm living in Waco Texas, me and my girl
f** David Koresh, I'm starting my own world
It's called Bizarre Cemetery, it's scary
Eating a virgin's cherry; they're all gonna laugh at you, Carrie!
[Hook: Slim Shady]
Journey into the mind of a psychopath k**er
Blood spiller, mentality much iller
Than you could ever imagine in your wildest dreams
You'll feel his pain in his silent screams
You bout to - journey into the mind of a psychopath k**er
Blood spiller, mentality much iller
Than you could ever imagine in your wildest dreams
You'll feel his pain in his violent screams
[Verse 3: Kon Artis]
I was born feet first, smoke 40's and drink weed
The Lord rehearsed my birth, I'm the worst breed
A n***a you ever set sight on, my right arm's
Got more power than 5 of Ivan Drago's pythons so
""Journey into the mind of a psychopath k**er""
Light yo' a** like a liquid nitro-gas spiller
Psycho slash Michael Myers, Michael Jack's ""Thriller""
Rifle slash knife f*ggot that's your ""Cop k**er""
As a yung'un, I was beat where I was living (aight)
Cross-dressed just to get thrown in the women's prison
I guess I was just stressed to be a hoodlum
Being pressed caused the stress that caused the Ritalin
Pressed stressed and Ritalin caused the cop's feelings
To be hurt after they seen what I did to those children
I'm vulgaric, you Bo Derek; I throw you face flat off the terrace
So you can have somethin' to stare at
[Hook: Slim Shady]
Journey into the mind of a psychopath k**er
Blood spiller, mentality much iller
Than you could ever imagine in your wildest dreams
You'll feel his pain in his silent screams
You bout to - journey into the mind of a psychopath k**er
Blood spiller, mentality much iller
Than you could ever imagine in your wildest dreams
You'll feel his pain in his silent screams"
8,3 Verses,https://lyrics.az/eminem/f**ing-crazy/3-verses.html,eminem,"I'm the illest rapper to hold a cordless
Patrolling corners
Looking for hookers to punch in the mouth with a roll of quarters
I'm meaner in action
Than Rosco beating James Tarteenyer (?)
And smackin his back with vacuum cleaner attachments
I grew up in the wild hood
As a hazardous youth
With a f**ed up childhood
That I used as an excuse
And aint sh** changed
But kept the same mindstate
Since the third time that I failed 9th grade
You probably think that I'm a negative person don't be so sure of it
I don't promote violence I just encourage it
I laugh at the sight of d**h
As I fall down a cement flight of steps
And land inside a bed of spider webs
So throw caution to the wind
You and a friend
Can jump off of a bridge and if you live, do it again
sh**, why not? Blow your brain out
I'm blowing mine out
f** it, you only live once you might as well die now
It's only fair to warn
I was born with a set of horns
And metaphors attached to my damn umbulical cord
Warlord of rap little ba*tard with a two by four board
That smashed into your Honda Accord
With a 4 door Ford
But a more toward (?) droppin an accapella
The choppa (?) fella
The mozarella
Worse than a hellacopta propella
Got you locked in the cella
With your skeleton showing
Developing anorexia
While I'm standin next to ya
Eating a full course meal watching you starve to d**h
With an IV in your veins
Feeding you liquid darvicet
Pumping you full of d**
Pull the plugs
On the gunshot victims full of bullet slugs
Who were picked up in an ambulance
And driven
To receiving with the a**es ripped outta they pants



And given
A less than 20 percent chance
Of living
Have a possible placement
It's a hospital patient
Storing the dead bodies in grandma's little basement
Doctor Kevorkian has arrived
To perform an autopsy on you while you scream ""I'M STILL ALIVE!""
Driving a rusty scalpel in through the top of your scalp
And pulling your adams apple out through your mouth
Better call the fire department
I've hired a arson
To set fire to carpet
And burn up your entire apartment
I'm a liar to start sh** (?)
Got your b**h wrapped around my dick
So tight you need a crobar to pry her apart wit
Met a retarded kid named Greg with a wooden leg
Snatched it off and beat him over the f**ing head with the peg
Go to bed with the keg wake up with the 40
Mixed up with Alka Seltzer and Formula 44D
f** an acid tab I'll strap the whole sheet to my forehead
Wait until it absorbed in and fell to the floor dead
No more said case closed end of discussion
I'm blowin up like spontaneous human combustion
Leaving you in the aftermath of holocaust and traumas
Cross the bombas (?)
We blowin up your house k**ing your parents
and coming back to get your foster mommas
And I'm as good at keeping a promise as Nostradamus
Cause I aint making no more threats
I'm doing drivebys in tinted Corvettes on Vietnam war vets
I'm more or less sick in the head
Maybe more cause I smoked crack (?)
today, yesterday, and the day before sabbath
Walk the block with a labrador
Strapit more corral for war than El Salvador
Foul style galore
Verbal cow manure
Coming together like the eyebrow on Al B. Sure
"
9,Campaign Speech,https://lyrics.az/eminem/for-president/campaign-speech.html,eminem,"Jumped out of the second floor of a record store
With a Treacherous Four ca**ette and a ca**ette recorder
In Ecuador with Edward Norton
Eminem speaks out against Donald Trump on ""Campaign Speech""
Witness the metamorphosis
Of a legend growin' like an expert swordsman
From the Hessian war and
Hence the origin of the Headless Horseman
Born with the endorphins of a pathetic orphan
Endless sores and reservoir
Of extension cords in dresser drawers
And deadbolts on the bedroom doors
And s**ual torture kits kept in a separate storage bin
Excellent boyfriend
Use intercourse to settle scores
With women who have been vendettas towards men
Dickhead is forced in and the shredded foreskin
Red is torn and they're only bein' fed a portion
Bed sores in sore shins
Pregnant who*es can get abortions
Fetish for stickin' metal forks in, self-absorption
Skeletor, I went to Hell and fell a floor
A predator, I'm headed for competitors
Better warn 'em, what I lack in tact and a set of morals
I make up for in metaphors like a cosmetic store
Stegosaurus, Chuck Norris with a thesaurus
Yes, of course, I mess up once
You want some? Come and get some, boys!
I'm givin' Daniel Pantaleo a refresher course
On excessive force and pressure points
And dressin' George Zimmerman in a fluorescent orange
Dress and four inch heels to address the court
With a bullseye on his back, his whole chest and torso
Are left on the doorsteps of Trayvon's dad as a present for him
In my present form I'm Desert Storm
Appetite for destruction is no suppressant for
Aggressive, forceful, and less remorseful in every morsel
Unpleasant, horrible; hello, gorgeous!
The rebel with devil horns just fell off the yellow short bus
Met a contortionist, said, ""When you wanna get s**ual?""
She said, ""However I fit in your schedule. I'm flexible.""
Expired tags on the Saturn, got Kathryn Beck
In the back in Daisy Dukes with the hazards on
At a traffic stop gettin' hara**ed, sign an autograph
For this a**hole cop's daughter
Laugh 'cause I called her a brat on it
He spat on it and brought it back lookin' half in shock
Had a heart attack and dropped dead
Started fallin' back with it
And got slapped with a Colin Kaepernick practice sock
One ball and half a dick, Apple Watch
Crack for an axle, walked in a Ba** Pro Shop with David Ha**elhoff, pulled Tabasco sauce out of my satchel
Knocked over a fisherman's tackle box and *crash sound*
Asked if they had a laugh in stock
That was f**in' stupid...
You got it twisted, all 'cause I offered this b**h
A doggie biscuit, you call me misogynistic
b**h, get to ma**agin' this dick!
Like spas in this b**h, slob on it, with gobs of lipstick
Got a shoppin' list for you to run some odds and ends with
It's not a b**h on this earth I can be monogamous with
She's non-existent
Robin Thicke with a throbbin' dick on some swab and slick sh**
But I shout derogatives at b**hes like f**in' missile launches
Misfit, blond and nitwit
Like I've gone ballistic, with a frostin' tip kit
Screamed, ""I hate blondes,"" and became one, I'm optimistic
Love to start sh**
Shovin' Clark Kent's undergarments in the glove compartment
Of the bucket, bumpin' Bubba Sparxxx
I'm double parkin' up at Targets, trouble 'cause a double cross
The shadiest mothaf**a you'll ever come across
Olympic gymnast, been known for some a**aults
A couple lawsuits, enough to cause a stomach ulcer
Same damn brain scan results as Rainman's is
Something's awful when Dustin Hoffman's
Dressin' up in your mummy costume
On stage dancin' to ""Brain Damage,""what's the problem?
Nothing's wrong, the name brand is back to reclaim status
Run the faucet, I'ma dunk
A bunch of Trump supporters underwater
Snuck up on 'em in Ray Bans in a gray van with a spray tan
It's a wrap, like an Ace bandage
Don't-give-a-f** persona, to my last DNA strand
E&J in the waistband, at the VMAs with the stagehand
She wants kielbasa, pre-arrange an escape plan
Three-inch blade on point, like a See-and-Say
Consider me a dangerous man
But you should be afraid of this dang candidate
You say Trump don't kiss a** like a puppet
'Cause he runs his campaign with his own cash for the fundin'



And that's what you wanted
A f**in' loose cannon who's blunt with his hand on the bu*ton, who doesn't have to answer to no one - great idea!
If I was president, gettin' off is
The first order of business once I get in office
Second thing that'll make me happy's walkin' up to Uncle Sam
Naked, laughing, dick cupped in hand
Screaming, ""f** safe s**!""
Throw a latex and an AIDS test at him
Tell Congress I run this land
And I want the rubber banned, and make it snappy
Addiction to friction and static
Addict who can't escape the habit
It's in you to chase the dragon
But as fate would have it, I walked up in major Magics
Dressed as the maintenance man
In a laser tag vest and a racin' jacket, with a gauge to blast it
And sped away in the station wagon
Stacey Dash's and Casey Anthony's
Crazy a**es in the backseat
Throwin' Stay-Free pads at me
Dead pa**enger in the pa**enger seat
Unfasten the safety latches
And slam on the brakes in traffic so hard
I snapped the relocation brackets for the monster tires
Finna get a murder case and catch it
Like you threw it at me encased in plastic
And send Dylan Roof through the windshield of the Benz
Until he spins like a pinwheel and begins feelin'...
Like a windmill with a thin bill while his skin's peelin'
And skids 'til he hits a cement pillar
Swing for the fence like Prince Fielder
Knock it into the upper peninsula
You want to go against zilla? The Rap God
When will I quit? Never been realer
The in-stiller of fear, not even a scintilla of doubt
Whose pens iller than Prince in a chinchilla
Or Ben Stiller in a suspense thriller
Revenge k**er of bin syllable binge
Fill a syringe, till I
Draw first blood
Even pop sh** on my pop sh**, and it's popular
Couldn't be more awkwarder
Cause you're innocence I robbed you of
It's my fingers that got stuck up
Tortured a, not give a
Slapstick, hockey puck
The broad hunter with the sawed off
Like an arm when it's lopped off of ya
But I'm not gonna, get the shotgun
Or the Glock, I'm gonna opt for the ox
Cause I'm into objects that are sharp when I sharpen
It's not a shock, I'm such an obnoxious f**er
The rock cuts into rock cause who would have thought
This much of a co*ks**er that go across the bu*tocks of Vivica Fox with a box cutter
That was for 50, little slap on the wrist be warned
I'm unrevealing quickly
My squabbles, I'm grappling with your time traveling with me
Try and follow, as I wobble, relapse into history, with a flask of the whiskey
Tip it back then I'm twisting wine bottles
Like what happened to Chris Reeves' spine column
That's the plan of attack when I'm fixing my problems
Wish my chest wasn't having to get these rhymes off 'em
But the fact that I have so many rappers against me mind boggles
And why I had to come back on these f*ggots who diss me is
More of a spectacular mystery than a f**ing Agatha Christie crime novel
But my patience is wearing thin
Swear I been contemplating rubbing sh** in your face till I smear it in
Diss you in every lyric until you fear the pen
And never appear again
If you actually had f**ing careers to end
But then I think of Molly Qerim and I steer 'em in that direction and forget my ideas for them
Molly, I'm gone off you
Man, light some kush
You're my first take, I'll nail you
Can't lie, I gush
If I won you over, you would be the grand prize
I'm entranced by your looks, come and give the Shady franchise a push
You can get it in a can like some Anheuser Busch
Jeans too small, least three pant sizes tush
Mushed against your damn side, you puss
And thighs are squooshed
What kind of attires that?
I'm ready to be rode
Psychopath, bet you we'll get it popping like a flat
Light the match to ignite the wrath
Got knives to slash and slice hermaphrodites in half
Piper Chapmans might just have to picket me
Like a scab
Hard to describe in fact
Startling violent perhaps
Are things that come to mind as soon as I start spitting rhymes like that
And you aren't really surprised at that
But as far as these lines I rap
And these bars, wouldn't dial it back if I star 69'ed the track
Why am I such a dick?"
