,title,links,artist,song_lyric
0,As Time Goes By,https://lyrics.az/bob-dylan/triplicate/as-time-goes-by.html,bob_dylan,"You must remember this
A kiss is still a kiss
A sigh is still just a sigh
The fundamental things apply
As time goes by
And when two lovers woo
They still say ""I love you""
On that you can rely
No matter what the future brings
As time goes by
Moonlight and love songs never out of date



Hearts full of pa**ion, jealousy, and hate
Woman needs man and man must have his mate
That no one can deny
It's still the same old story
A fight for love and glory
A case of do or die
The world will always welcome lovers
As time goes by"
1,I Shall Be Released,https://lyrics.az/bob-dylan/blood-in-my-eye/i-shall-be-released.html,bob_dylan,"They say every man must need protection
They say every man must fall
Yet I swear I see my reflection
Some place so high above the wall
I see my light come shining
From the west unto the east
Any day now, any day now
I shall be released
Down here next to me in this lonely crowd



Is a man who swears he's not to blame
All day long I hear him cry so loud
Calling out that he's been framed
I see my light come shining
From the west unto the east
Any day now, any day now
I shall be released"
2,All Or Nothing At All,https://lyrics.az/bob-dylan/fallen-angels/all-or-nothing-at-all.html,bob_dylan,"All or nothing at all
Half a love never appealed to me
If your heart never could yield to me
Then I'd rather have nothing at all
All or nothing at all
If it's love there is no in-between
Why begin then cry for something that might have been
No I'd rather have nothing at all
Please don't bring your lips so close to my cheek



Don't smile, I'll be lost beyond recall
The kiss in your eyes and the touch of your hand makes me weak
And my heart may grow dizzy and fall
And if I fell under the spell of your call
I would be caught in the undertow
And so you see, I've got to say ""No, no""
All or nothing at all
All or nothing at all"
3,Bye Bye Johnny,https://lyrics.az/bob-dylan/live-on-air-1986/bye-bye-johnny.html,bob_dylan,"Bye and bye
I'm breathin' a lover's sigh
Well, I'm sittin' on my watch so I can be on time
I'm singin' love's praises with sugar-coated rhyme
Bye and bye
On you I'm casting my eye
I'm paintin' the town
Swinging my partner around
Well, I know who I can depend on
I know who to trust
I'm watchin' the roads, I'm studying the dust
I'm paintin' the town
Making my last go-round
Well, I'm scufflin' and I'm shufflin'
And I'm walkin' on briars
I'm not even acquainted with my
Own desires
I'm rollin' slow



I'm doing all I know
I'm tellin' myself
I found true happiness
That I've still got a dream that hasn't been repossessed
I'm rollin' slow, goin' where the wild roses grow
Well the future
For me is already a thing of the past
You were my first love
And you will be my last
Papa gone mad, mamma, she's feeling sad
Mamma, she's feeling sad
Well, I'm gonna baptize you in fire so you can sin no more
I'm gonna establish my rule through civil war
Gonna make you see just how loyal and true a man can be"
4,Jet Pilot,https://lyrics.az/bob-dylan/the-bootleg-series-vol-12-the-cutting-edge/jet-pilot.html,bob_dylan,"Well, she's got jet pilot eyes from her hips on down.
All the bombardiers are trying to force her out of town.
She's five feet nine and she carries a monkey wrench.
She weighs more by the foot than she does by the inch.



She got all the downtown boys, all at her command
But you've got to watch her closely 'cause she ain't no woman
She's a man.
"
5,California,https://lyrics.az/bob-dylan/the-bootleg-series-vol-12-the-cutting-edge-collectors-edition/california.html,bob_dylan,"[Verse 1]
I'm goin' down south
'Neath the borderline
I'm goin' down south
'Neath the borderline
Some fat momma
Kissed my mouth one time
[Verse 2]
Well, I knew it this morning
Without a shadow of doubt
I knew it this morning
Without a shadow of doubt
My suitcase is packed
My clothes are hangin' out
[Verse 3]
San Francisco is fine
You sure get lots of sun



San Francisco is fine
You sure get lots of sun
But I'm used to four seasons
California's got but one
[Harmonica solo]
[Verse 4]
Well, I got my dark sungla**es
I got for good luck my black tooth
I got my dark sungla**es
And for good luck I got my black tooth
Don't ask me nothin' about nothin'
I just might tell you the truth"
6,Make Me a Pallet on Your Floor *,https://lyrics.az/bob-dylan/the-legendary-broadcasts-1960-1964/make-me-a-pallet-on-your-floor.html,bob_dylan,blank
7,"Baby, Let Me Follow You Down",https://lyrics.az/bob-dylan/the-real-royal-albert-hall-1966-concert/baby-let-me-follow-you-down.html,bob_dylan,"Baby, let me follow you down
Baby let me follow you down
Well, I'll do anything in this God-almighty world
If you just let me follow you down
Can I come home with you?
Baby can I come home with you?
Yes, I'll do anything in this God-almighty world
If you just let me come home with you



Baby, let me follow you down
Baby let me follow you down
Well I'll do anything in this God-almighty world
If you just let me follow you down
Yes, I'll do anything in this God-almighty world
If you just let me follow you down"
8,The Time They Are A-Changin',https://lyrics.az/bob-dylan/walkin-down-the-line-1962-1963-demos-and-rare-tracks/the-time-they-are-a-changin.html,bob_dylan,"Come gather 'round people
Wherever you roam
And admit that the waters
Around you have grown
And accept it that soon
You'll be drenched to the bone.
If your time to you
Is worth savin'
Then you better start swimmin'
Or you'll sink like a stone
For the times they are a-changin'.
Come writers and critics
Who prophesize with your pen
And keep your eyes wide
The chance won't come again
And don't speak too soon
For the wheel's still in spin
And there's no tellin' who
That it's namin'.
For the loser now
Will be later to win
For the times they are a-changin'.



Come senators, congressmen
Please heed the call
Don't stand in the doorway
Don't block up the hall
For he that gets hurt
Will be he who has stalled
There's a battle outside
And it is ragin'.
It'll soon shake your windows
And rattle your walls
For the times they are a-changin'.
Come mothers and fathers
Throughout the land
And don't criticize
What you can't understand
Your sons and your daughters
Are beyond your command
Your old road is
Rapidly agin'.
Please get out of the new one
If you can't lend your hand
For the times they are a-changin'."
9,Pretty Polly,https://lyrics.az/bob-dylan/gaslight-nyc-sept-6th-1961/pretty-polly.html,bob_dylan,"Oh Willie, oh Willie, I'm scared of your ways
Oh Willie, oh Willie, I'm scared of your ways
I'm scared you will lead my poor body astray
Pretty Polly, Pretty Polly, you guessed just about right
Well, Polly, Pretty Polly, you guessed just about right
For I dug on your grave the best part of last night
She through her arms around him and she began to cry
She through her arms around him and she began to cry
I can't k** a woman that loves you such as I
There's no time to talk now, there's no time to stand
There's no time to talk now, there's no time to stand
He drew out his dagger all in his right hand



He pierced her in the heart and her lifeblood did run
He pierced her in the heart the lifeblood did flow
Deep in her grave Pretty Polly did go
He threw the dirt around her and then he went home
He threw the dirt around her and then he went home
With nobody there but the wild birds to moan
A debt to the devil Willie must pay
A debt to the devil Willie must pay
For k**ing Pretty Polly and running away
Oh, where is Pretty Polly? Yonder she stands
Oh, where is Pretty Polly? Yonder she stands
The rings on the fingers of her lilywhite hand
The rings on the fingers of her lilywhite hand"
