lyrics,artist_name
How do you do? Ladies and gentlemen,eminem
[Skit: Eminem & GPS],eminem
[Verse],eminem
"Thank you for your interest in Revival, the number one slightly invasive treatment for Atrox Rithimis. You only get one shot to beat AR. Don't miss your chance with Revival. Please hold to speak with a patient care representative.",eminem
[Rabbit],eminem
[Intro: Eminem],eminem
"""Scalpel""",eminem
[Verse 1: Slim Shady],eminem
I'm the illest rapper to hold a cordless,eminem
Jumped out of the second floor of a record store,eminem
* eminem does the voices of all characters in the song *,eminem
[Eminem],eminem
"Your mother, you f**in' f*got",eminem
"[Royce da 5'9""]",eminem
LYRICS COMING SOON,eminem
"(feat. 50 Cent, G-Unit)",eminem
(2pac),eminem
Only reason I dissed you in the first place,eminem
[Intro],eminem
You can never Ow me,eminem
[Verse 1:],eminem
I'm gonna k** this b**h,eminem
[Intro: eminem],eminem
Ballin' Uncontrollably,eminem
Can we pretend that airplanes,eminem
[Hook],eminem
[Intro],eminem
[20 seconds of background noise],eminem
Shady,eminem
Featuring Eminem and B Real,eminem
"Yeah,i said this on for your sterio",eminem
[Intro: x2],eminem
Artist: notorious b.i.g. f/ eminem,eminem
Where's my snare?,eminem
(Intro),eminem
"Duh, duh, duh, duh, duh, we still on?",eminem
OK,eminem
[DRE],eminem
blank,eminem
"It's alright, it's ok, i'm gonna make it anyway",eminem
[CHORUS: OPENING],eminem
"Marshall, sounds like an S.O.S.",eminem
[Eminem],eminem
"[girl] yeaaah, hahahaha...whooooo, sh**!",eminem
[Intro: Noreaga],eminem
[Verse 1:],eminem
[Intro],eminem
Chorus: repeat 2x,eminem
Just the two of us.. [8X],eminem
[Ken Kaniff] I'm gonna call this motherf**er. Oh f** yeah. Give him a piece of my mind. A piece of my a**,eminem
[Produced by Ba** Brothers],eminem
[Verse 1],eminem
[Intro: Frogg],eminem
"[Eye-Kyu:] Now what you know about a sweet MC, from the 313",eminem
My name is Alfred Hitchco*k and this is Music To Be Murdered By,eminem
"Paul, yo, um",eminem
"I’ve drowned in high from the ashes, now",eminem
"While you wait, here's some additional information:",eminem
"Now, everybody from the 313",eminem
Makaveli rest in peace,eminem
"""Here""",eminem
"I'm the devil, if ever there was such a thing",eminem
Patrolling corners,eminem
With a Treacherous Four ca**ette and a ca**ette recorder,eminem
[g] eminem as susan (the girl),eminem
I come around like what goes around.,eminem
"La da da, da da da, da da",eminem
"Ryan's a homicidal misfit, I write the solution of biophysics",eminem
[50 Cent],eminem
Sometimes its hard to wake up in the morning,eminem
Was because you denied seeing me,eminem
"Ayo, what do you think about, two grown a** men, living together?",eminem
you can never loan me,eminem
I came to the world at a time when it was in need of a villain,eminem
I'm a k** him,eminem
Welcome to detroit,eminem
Ballin' Uncontrollably,eminem
In the night sky,eminem
Too late for the other side,eminem
There is no escaping,eminem
"""It fits, perfect""",eminem
Old mix,eminem
[ Eminem ],eminem
"turn me up,turn me up",eminem
I done figured this rap sh** out,eminem
"* the original version on promo 12"" does not feature eminem",eminem
I have no snare in my headphones,eminem
