lyrics,artist_name
You must remember this,bob_dylan
They say every man must need protection,bob_dylan
All or nothing at all,bob_dylan
Bye and bye,bob_dylan
"Well, she's got jet pilot eyes from her hips on down.",bob_dylan
[Verse 1],bob_dylan
blank,bob_dylan
"Baby, let me follow you down",bob_dylan
Come gather 'round people,bob_dylan
"Oh Willie, oh Willie, I'm scared of your ways",bob_dylan
The falling leaves,bob_dylan
blank,bob_dylan
blank,bob_dylan
[Verse 1],bob_dylan
"Honey, just allow me one more chance",bob_dylan
I used to dream about angels But then I never knew,bob_dylan
[Verse 1],bob_dylan
I've been around this whole country,bob_dylan
The jingle bells are jingling,bob_dylan
"Oh well, I love you pretty baby",bob_dylan
"I cross the green mountain, I slept by the stream",bob_dylan
"Oh, where have you been, my blue-eyed son?",bob_dylan
As I walked out tonight in the mystic garden,bob_dylan
How many roads must a man walk down,bob_dylan
Far between sundown's finish an' midnight's broken toll,bob_dylan
"I can't understand, she let go of my hand",bob_dylan
"Listen to me, baby",bob_dylan
I can hear the turning of the key,bob_dylan
"(first release, live version, february 1, 1998, new jersey center, new jersey)",bob_dylan
Bye and bye,bob_dylan
Mama take this badge from me,bob_dylan
"Go 'way from my window,",bob_dylan
"When she said,",bob_dylan
[Verse 1],bob_dylan
Well my nerves are exploding and my body's tense,bob_dylan
Seen a shooting star tonight,bob_dylan
"Seven days, seven more days she'll be comin'",bob_dylan
"Woke up this morning, feeling blue",bob_dylan
"Oh, me and my cousin, one Arthur McBride",bob_dylan
Seen the arrow on the doorpost,bob_dylan
[Verse 1],bob_dylan
"Ten thousand men on a hill,",bob_dylan
There's a whole lot of people suffering tonight from the disease of conceit,bob_dylan
When you're sad and when you're lonely,bob_dylan
Well there was this movie I seen one time,bob_dylan
"Oh, the gentlemen are talking and the midnight moon is on the riverside",bob_dylan
Just a minute before you leave girl,bob_dylan
Heart of mine be still,bob_dylan
How many times have you heard someone say,bob_dylan
"Don't wanna judge nobody, don't wanna be judged,",bob_dylan
"He sits in your room, his tomb, with a fist full of tacks",bob_dylan
"You been down to the bottom with a bad man, babe",bob_dylan
Up on the white veranda,bob_dylan
Buckets of rain,bob_dylan
Ain't no more cane on the brazos,bob_dylan
The water is wide and I can't cross over,bob_dylan
J. r. robertson,bob_dylan
I hate myself for loving you and the weakness that it showed,bob_dylan
Now and then there's a fool such as I,bob_dylan
Instrumental,bob_dylan
[Verse 1],bob_dylan
Instrumental,bob_dylan
Spend the night with some sweet señorita,bob_dylan
"I ain't lookin' to compete with you,",bob_dylan
"arethacrystal jukebox queen of hymn & him diffused in drunk transfusion wound would heed sweet soundwave crippled & cry salute to oh great particular el dorado reel & ye battered personal god but she cannot she the leader of whom when ye follow, she cannot she has no back she cannot . . . beneath black flowery railroad fans & fig leaf shades & dogs of all nite joes, grow like arches & cures the harmonica battalions of bitter cowards, bones & bygones while what steadier louder the moans & arms of funeral landlord with one pa**ionate kiss rehearse from dusk & climbing into the bushes with some favorite enemy ripping the postage stamps & crazy mailmen & waving all rank & familiar ambition than that itself, is needed to know that mother is not a lady . . . aretha with no goals, eternally single & one step soft of heaven/ let it be understood that she owns this melody along with her emotional diplomats & her earth & her musical secrets",bob_dylan
Oh the benches were stained with tears and perspiration,bob_dylan
"Alberta, let your hair hang low, Alberta, let your hair hang low",bob_dylan
"Alberta, let your hair hang low, Alberta, let your hair hang low,",bob_dylan
If you're traveling in the north country fair,bob_dylan
You got a lotta nerve,bob_dylan
"""There must be some way out of here""",bob_dylan
"Well, your railroad gate, you know I just can't jump it",bob_dylan
I was riding on the Mayflower,bob_dylan
I was riding on the Mayflower when I thought I spied some land,bob_dylan
"I got this graveyard woman, you know she keeps my kids",bob_dylan
"I once loved a girl, her skin it was bronze",bob_dylan
baby's black,bob_dylan
Hollis Brown,bob_dylan
"Well, the Lone Ranger and Tonto",bob_dylan
(first release,bob_dylan
A kiss is still a kiss,bob_dylan
They say every man must fall,bob_dylan
Half a love never appealed to me,bob_dylan
I'm breathin' a lover's sigh,bob_dylan
All the bombardiers are trying to force her out of town.,bob_dylan
I'm goin' down south,bob_dylan
Baby let me follow you down,bob_dylan
Wherever you roam,bob_dylan
"Oh Willie, oh Willie, I'm scared of your ways",bob_dylan
Drift by the window,bob_dylan
Listen to that Duquesne whistle blowing,bob_dylan
To get along with you,bob_dylan
That I'd ever meet one And such a sweet one,bob_dylan
"Well, if I had to do it all over again",bob_dylan
But I never yet found Fenneario.,bob_dylan
The streets,bob_dylan
You're the only love I've ever known,bob_dylan
"Heaven blazin' in my head, I dreamt a monstrous dream",bob_dylan
"Oh, where have you been, my darling young one?",bob_dylan
The wounded flowers were dangling from the vine,bob_dylan
Before you call him a man?,bob_dylan
"We ducked inside the doorway, thunder crashing",bob_dylan
An' left me here facing the wall,bob_dylan
There's something you must see,bob_dylan
I've been deceived by the clown inside of me.,bob_dylan
"One, two, a-one two three",bob_dylan
I'm breathin' a lover's sigh,bob_dylan
I can't use it anymore,bob_dylan
Leave at your own chosen speed.,bob_dylan
"""don't waste your words, they're just lies,""",bob_dylan
"Well, I see you got your brand new leopard-skin pillbox hat",bob_dylan
I feel like the whole world gonna end up against the fence,bob_dylan
And I thought of you,bob_dylan
I'll be waiting at the station for her to arrive,bob_dylan
"Seen a good looking girl, can I make love with you",bob_dylan
As we went a-walkin' down by the seaside,bob_dylan
"Saying, ""this land is condemned",bob_dylan
Farewell Angelina,bob_dylan
"Ten thousand men on a hill,",bob_dylan
Whole lot of people struggling tonight from the disease of conceit,bob_dylan
And you haven't got a friend,bob_dylan
About a man riding across the desert and starred Gregory Peck,bob_dylan
They're drinking up and walking and it is time for me to slide,bob_dylan
Just a minute before you touch the door,bob_dylan
You can play with fire but you'll get the bill,bob_dylan
If I had his money I'd do things my way,bob_dylan
"Don't wanna touch nobody, don't wanna be touched.",bob_dylan
Preoccupied with his vengeance,bob_dylan
But you're back were you belong,bob_dylan
She wears a necktie and a Panama hat,bob_dylan
Buckets of tears,bob_dylan
"Oh, oh, oh, oh...",bob_dylan
Neither have I wings that I could fly,bob_dylan
"Take a silver dollar and put it in your pocket,",bob_dylan
You were just a painted face on a trip down to suicide road,bob_dylan
"Pardon me if I'm sentimental, came to say goodbye",bob_dylan
"Mama, take this badge off of me",bob_dylan
,bob_dylan
Into her dark hallway she will lead you,bob_dylan
"Beat or cheat or mistreat you,",bob_dylan
the censor in a twelve wheel drive semi,bob_dylan
The birdies were flying from tree to tree,bob_dylan
I'll give you more gold than your apron can hold,bob_dylan
I'll give you more gold than your apron can hold,bob_dylan
Where the winds hit heavy on the borderline,bob_dylan
To say you are my friend,bob_dylan
Said the joker to the thief,bob_dylan
"Sometimes it gets so hard, you see",bob_dylan
When I thought I spied some land,bob_dylan
I yelled for Captain Arab I have you understand,bob_dylan
"But my soulful mama, you know she keeps me hid",bob_dylan
"With the innocence of a lamb, she was gentle like a fawn",bob_dylan
been had,bob_dylan
He lived on the outside of town,bob_dylan
They are ridin' down the line,bob_dylan
"Feeling funny in my mind, lord,",bob_dylan
A sigh is still just a sigh,bob_dylan
Yet I swear I see my reflection,bob_dylan
If your heart never could yield to me,bob_dylan
"Well, I'm sittin' on my watch so I can be on time",bob_dylan
She's five feet nine and she carries a monkey wrench.,bob_dylan
'Neath the borderline,bob_dylan
"Well, I'll do anything in this God-almighty world",bob_dylan
And admit that the waters,bob_dylan
I'm scared you will lead my poor body astray,bob_dylan
The autumn leaves,bob_dylan
Blowing like it's gonna sweep my world away,bob_dylan
"Honey, just allow me one more chance",bob_dylan
Till I met you,bob_dylan
"Babe, I'd do it all over you",bob_dylan
"Well, as we marched down, as we marched down",bob_dylan
Are white with snow,bob_dylan
Just as long as you stay with me,bob_dylan
